,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,state
0,2,2950,2017-02-25,False,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,VIC
1,3,3120,2017-05-21,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701.0,NSW
2,37,402,2017-10-16,False,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,NSW
3,88,3135,2017-08-31,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,NSW
4,78,787,2017-10-01,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226.0,NSW
5,25,2339,2017-03-08,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031.0,NSW
6,22,1542,2017-04-21,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,NSW
7,15,2459,2017-07-15,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,QLD
8,67,1305,2017-08-10,False,Approved,Solex,Standard,medium,large,1071.23,380.74,33455.0,QLD
9,12,3262,2017-08-30,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,QLD
10,5,1986,2017-01-17,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,NSW
11,61,2783,2017-01-05,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,NSW
12,35,1243,2017-02-26,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,NSW
13,16,2717,2017-09-10,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,NSW
14,12,247,2017-06-11,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,NSW
15,3,2961,2017-10-10,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873.0,VIC
16,79,2426,2017-04-03,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,38206.0,NSW
17,33,1842,2017-06-02,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,NSW
18,54,2268,2017-04-06,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,VIC
19,25,3002,2017-01-28,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,37337.0,NSW
20,27,1582,2017-10-09,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0,NSW
21,37,595,2017-06-29,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,QLD
22,37,2001,2017-04-08,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,42145.0,NSW
23,82,515,2017-10-18,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,NSW
